CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"6614","SOCL 309","1","The Refugee Experience","3","  AIGM","Lec","TR","0930-1045","LUTR 167","Gustafsson, Mai","0","Closed",
"6649","SOCL 314","1","Education, Culture and Society","3","","Lec","T","1800-2045","MCM 160","Weber, Richard","0","Closed",
"6650","SOCL 314","2","Education, Culture and Society","3","","Lec","R","1800-2045","FORBES 2070E","Weber, Richard","1","Open",
"6651","SOCL 314","3","Education, Culture and Society","3","","Lec","MW","1930-2045","FORBES 2074","Graef, Mayrene","5","Open",
"7792","SOCL 314","4","Education, Culture and Society","3","","Lec","MWF","1200-1250","LUTR 170","Bennette, Jana","0","Closed",
"6653","SOCL 314L","1","Educ, Culture and Society Lab","1","","Lab","M","1100-1215","ARR ","Powell, Linda","0","Closed",
"6654","SOCL 314L","2","Educ, Culture and Society Lab","1","","Lab","T","1500-1615","ARR ","Kohr, Rita","6","Open",
"6655","SOCL 314L","3","Educ, Culture and Society Lab","1","","Lab","W","1500-1615","ARR ","Chappell, Christopher","9","Open",
"6656","SOCL 314L","4","Educ, Culture and Society Lab","1","","Lab","R","1500-1615","ARR ","Kohr, Rita","10","Open",
"6657","SOCL 316","1","Racial and Ethnic Relations","3","","Lec","MWF","1400-1450","LUTR 167","Docka-Filipek, Danielle","1","Open",
"6658","SOCL 316","2","Racial and Ethnic Relations","3","","Lec","MWF","1500-1550","LUTR 167","Docka-Filipek, Danielle","0","Closed",
"6659","SOCL 316","3","Racial and Ethnic Relations","3","","Lec","TR","0930-1045","LUTR 131","Harris, Jaime","0","Closed",
"6660","SOCL 316","4","Racial and Ethnic Relations","3","","Lec","TR","1100-1215","LUTR 131","Harris, Jaime","0","Closed",
"6661","SOCL 319","1","Deviant Behavior","3","","Lec","TR","1630-1745","FERG 208","Gautam, Rana","0","Closed",
"6662","SOCL 319","2","Deviant Behavior","3","","Lec","TR","1800-1915","FERG 208","Gautam, Rana","0","Closed",
"6663","SOCL 321","1","Criminology","3","","Lec","MWF","0900-0950","LUTR 167","Briddell, Laine","1","Open",
"6664","SOCL 321","2","Criminology","3","","Lec","MWF","1000-1050","LUTR 167","Briddell, Laine","0","Closed",
"6622","SOCL 377","1","Women, Gender and Culture","3","  AIGM","Lec","MW","1600-1715","LUTR 139","Randolph, Antonia","0","Closed",
"6623","SOCL 377","2","Women, Gender and Culture","3","  AIGM","Lec","MW","1800-1915","LUTR 139","Randolph, Antonia","0","Closed",
"6624","SOCL 377","3","Women, Gender and Culture","3","  AIGM","Lec","TR","1630-1745","LUTR 167","Gustafsson, Mai","0","Closed",
"6665","SOCL 392","1","Statistics for Social Research","3","","Lec","MWF","1000-1050","LUTR 157","Harris, Jaime","2","Open",
"6666","SOCL 392","2","Statistics for Social Research","3","","Lec","MWF","1100-1150","LUTR 157","Harris, Jaime","0","Closed",
"6668","SOCL 480","W1","WI:Research Methods and Design","3","  WI","Lec","TR","1100-1215","LUTR 157","Briddell, Laine","0","Closed",
"6669","SOCL 480","W2","WI:Research Methods and Design","3","  WI","Lec","TR","1100-1215","LUTR 167","Timmer, Andria","0","Closed",
